,DS_PS_in(%),VS_PS_in(%),DS_WS_in(%),VS_WS_in(%),DS_Digester(%),DS_eff(%),VS_eff(%),ALK(mg CaCO3/L),FA(mg/L),pH,T(°C),Q_PS/Q_WS,Q_PS_in(m³/d),Q_WS_in(m³/d),Q_Total(m³/d),Q_eff(m³/d),Q_Biogas(Nm³/d),Pre_DS_eff(%)
2014-01-28,4.545,77.42,5.9,76.63,3.5,3.47,62.32,15057.633333333331,1234.4,7.212000000000001,40.2,1.1282051282051282,1056.0,936.0,1992.0,1416.0,45672.0,3.4522278
2014-01-29,4.74,73.34,5.585,78.02900000000001,3.5,3.515,62.23,16121.8,1258.0,7.212000000000001,40.14,1.125,1080.0,960.0,2040.0,1440.0,60336.0,3.4503205
2014-01-30,5.035,70.49,5.645,75.97,3.5,3.47,63.04,15543.0,1229.2,7.214,40.14,1.0975609756097562,1080.0,984.0,2064.0,1512.0,55392.0,3.4491105
2014-01-31,5.001818181818182,70.96909090909091,5.709090909090909,76.14518181818181,3.494,3.464545454545455,63.08,15587.636363636364,1226.5454545454545,7.2156363636363645,40.13818181818182,1.1189948263118996,1077.8181818181818,966.5454545454545,2044.3636363636363,1492.3636363636363,55396.36363636364,3.4491105
2014-02-01,4.968636363636364,71.44818181818181,5.7731818181818175,76.32036363636364,3.488,3.4590909090909094,63.12,15632.272727272728,1223.8909090909092,7.217272727272728,40.13636363636364,1.1404286770140428,1075.6363636363637,949.0909090909091,2024.7272727272727,1472.7272727272727,55400.72727272727,3.4559672
2014-02-02,4.9354545454545455,71.92727272727272,5.837272727272727,76.49554545454545,3.482,3.4536363636363636,63.16,15676.90909090909,1221.2363636363636,7.218909090909092,40.13454545454545,1.1618625277161863,1073.4545454545455,931.6363636363636,2005.090909090909,1453.090909090909,55405.09090909091,3.4535065
2014-02-03,4.902272727272727,72.40636363636364,5.901363636363636,76.67072727272728,3.476,3.4481818181818182,63.199999999999996,15721.545454545454,1218.581818181818,7.220545454545455,40.13272727272727,1.1832963784183297,1071.2727272727273,914.1818181818182,1985.4545454545455,1433.4545454545455,55409.454545454544,3.4506814
2014-02-04,4.869090909090909,72.88545454545455,5.965454545454545,76.84590909090909,3.47,3.442727272727273,63.239999999999995,15766.181818181818,1215.9272727272728,7.222181818181819,40.13090909090909,1.2047302291204731,1069.090909090909,896.7272727272727,1965.8181818181818,1413.8181818181818,55413.818181818184,3.4521146
2014-02-05,4.835909090909091,73.36454545454545,6.029545454545454,77.02109090909092,3.464,3.4372727272727275,63.28,15810.818181818182,1213.2727272727273,7.223818181818182,40.12909090909091,1.2261640798226163,1066.909090909091,879.2727272727273,1946.1818181818182,1394.1818181818182,55418.181818181816,3.4521146
2014-02-06,4.802727272727273,73.84363636363636,6.093636363636364,77.19627272727273,3.458,3.431818181818182,63.32,15855.454545454546,1210.618181818182,7.2254545454545465,40.12727272727273,1.2475979305247598,1064.7272727272727,861.8181818181819,1926.5454545454545,1374.5454545454545,55422.545454545456,3.4491186
2014-02-07,4.7695454545454545,74.32272727272728,6.157727272727272,77.37145454545455,3.452,3.4263636363636367,63.36,15900.09090909091,1207.9636363636364,7.22709090909091,40.12545454545455,1.2690317812269032,1062.5454545454545,844.3636363636364,1906.909090909091,1354.909090909091,55426.90909090909,3.4491186
2014-02-08,4.736363636363636,74.80181818181819,6.221818181818182,77.54663636363637,3.446,3.420909090909091,63.4,15944.727272727272,1205.3090909090909,7.228727272727274,40.123636363636365,1.2904656319290466,1060.3636363636363,826.909090909091,1887.2727272727273,1335.2727272727273,55431.27272727273,3.449686
2014-02-09,4.703181818181818,75.28090909090909,6.28590909090909,77.7218181818182,3.44,3.4154545454545455,63.44,15989.363636363636,1202.6545454545455,7.230363636363637,40.121818181818185,1.3118994826311898,1058.1818181818182,809.4545454545455,1867.6363636363635,1315.6363636363635,55435.63636363636,3.436186
2014-02-10,4.67,75.76,6.35,77.897,3.434,3.41,63.48,16034.0,1200.0,7.232000000000001,40.120000000000005,1.3333333333333333,1056.0,792.0,1848.0,1296.0,55440.0,3.4262712
